package	version	declared_license	source
unicode-properties	0.1.4	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
unicode-xid	0.2.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
untrusted	0.9.0	ISC	registry+https://github.com/rust-lang/crates.io-index
url	2.5.8	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
utf8_iter	1.0.4	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
uuid	1.24.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
vcpkg	0.2.15	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
version_check	0.9.5	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasi	0.11.1+wasi-snapshot-preview1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasi	0.14.7+wasi-0.2.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasip2	1.0.3+wasi-0.2.9	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasip3	0.4.0+wasi-0.3.0-rc-2026-01-06	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasite	0.1.0	Apache-2.0 OR BSL-1.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasite	1.0.2	Apache-2.0 OR BSL-1.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen	0.2.121	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-macro	0.2.121	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-macro-support	0.2.121	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-shared	0.2.121	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-encoder	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasm-metadata	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasmparser	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
web-sys	0.3.98	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
which	4.4.2	MIT	registry+https://github.com/rust-lang/crates.io-index
whoami	1.6.1	Apache-2.0 OR BSL-1.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
whoami	2.1.2	Apache-2.0 OR BSL-1.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wide	0.7.33	Zlib OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
windows-core	0.62.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-implement	0.60.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-interface	0.59.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-link	0.2.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-result	0.4.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-strings	0.5.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-sys	0.48.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-sys	0.52.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-sys	0.61.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-targets	0.48.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-targets	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_gnullvm	0.48.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_gnullvm	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_msvc	0.48.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_msvc	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_gnu	0.48.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_gnu	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_gnullvm	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_msvc	0.48.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_msvc	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_gnu	0.48.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_gnu	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_gnullvm	0.48.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_gnullvm	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
